x,y,frame
24567.6378226646,63766.9428625375,1
28219.8936820396,37649.711417225,1
28136.9029593834,40600.1166906625,1
30438.6680961021,48013.5053625375,1
31185.9556937584,52421.7963781625,1
32220.2769828209,43554.730948475,1
32203.2286429771,46501.9623937875,1
32963.9586234459,34789.0839758188,1
33281.0289359459,48134.281729725,1
34549.8936820396,28551.9453039438,1
34594.1173148521,35483.324698475,1
34623.5557914146,39576.94774535,1
34566.6807914146,48114.926260975,1
35142.2276664146,29704.9775305063,1
36191.8663382896,36836.3984289438,1
36534.1978812584,44523.82274535,1
36722.0372367271,29366.7280187875,1
37271.6783500084,45229.8627844125,1
38286.4781546959,29257.3212805063,1
38702.8917289146,39783.7397375375,1
39444.4639945396,30296.9819250375,1
39340.6114554771,43610.512198475,1
39650.9825492271,41947.9829016,1
39812.3009086021,48935.1704016,1
40022.0616507896,36446.3837805063,1
40203.4630179771,40040.0580969125,1
40350.8555961021,43423.012198475,1
40442.9356742271,46878.8178625375,1
41318.9732718834,37063.6347570688,1
41315.6676078209,42317.895010975,1
43533.2262015709,37239.33055785,1
43772.0445609459,52869.359854725,1
44615.6627250084,32180.2924719125,1
45035.0133109459,30076.273917225,1
45112.9185843834,40488.9936437875,1
46325.7506156334,42034.7260656625,1
46241.5660453209,44594.984854725,1
46466.0826468834,35952.1943273813,1
46498.3775687584,50535.5268469125,1
47036.4537406334,41479.36962035,1
47229.3053031334,28211.586417225,1
47670.4576468834,34496.7866125375,1
48081.2633109459,25977.523917225,1
49802.7574515709,31779.5136633188,1
51128.0357718834,39095.7905187875,1
51386.4537406334,34638.7421789438,1
51647.5963187584,44615.941885975,1
52156.9420218834,36690.85399535,1
52361.2633109459,41354.0766516,1
21981.3310661546,15472.7581298956,2
24489.2729606859,63724.5244873174,2
28226.0332145921,37644.6221435674,2
28900.9404411546,36422.4297607549,2
29240.6596794359,15806.6656005987,2
29802.3881950609,43494.6953857549,2
30772.0195427171,45423.6065185674,2
30957.0219841234,50398.1377685674,2
31264.1630974046,41538.9531982549,2
32874.4536247484,30358.9947021612,2
33190.2641716234,33060.0689209112,2
33292.8618278734,48134.1729248174,2
33665.4961052171,20360.3362548956,2
34263.1718864671,54671.5459716924,2
34626.1357536546,35475.7281005987,2
34618.5039177171,39514.2241943487,2
35707.8422966234,55515.7647216924,2
37054.6123161546,48307.5030029424,2
37130.4619255296,54626.8389404424,2
38250.8305778734,29231.3140380987,2
38735.4570427171,39810.1104248174,2
38768.2817497484,51679.2119873174,2
38918.4282341234,53690.3545654424,2
38991.2749138109,46199.7490966924,2
39502.6640739671,30232.4053466924,2
39699.8637809984,41928.5235107549,2
40001.7680778734,36490.9185302862,2
40406.8046989671,22549.2852295049,2
40258.9946403734,43457.1367920049,2
40628.5991325609,28985.4693115362,2
41206.4799919359,50031.6875732549,2
41235.1958122484,42382.4199951299,2
41431.8754997484,50949.1338623174,2
43160.4204216234,41252.9961670049,2
43467.9790153734,37094.3731201299,2
44869.9223747484,37322.7031982549,2
44811.2016716234,48356.3164795049,2
45914.2778434984,51893.8067138799,2
46356.0844841234,42031.9756591924,2
46516.1040153734,36097.0684326299,2
46946.8364372484,28134.7271240362,2
48064.3169059984,25987.5640380987,2
48569.3120231859,38098.1377685674,2
48631.1137809984,32510.7671630987,2
49713.4575309984,39909.0337646612,2
51086.4555778734,39199.9273193487,2
51246.7485466234,35839.1070068487,2
52304.1508903734,41411.7412841924,2
21990.8995369841,15416.7818575354,3
27409.5616463591,38715.7991915198,3
28210.0938729216,37623.5018282386,3
28894.0343026091,36234.4686251136,3
29949.3223885466,45575.0155001136,3
30632.5230721403,34738.1844454261,3
31030.6578377653,50240.0057344886,3
31776.4122322966,33153.0696993323,3
32173.4630135466,46562.2371798011,3
32838.4239510466,40068.1722383948,3
33126.5098885466,36118.2625704261,3
33076.5172127653,44976.1385469886,3
33347.5255135466,48182.7694063636,3
33356.8443612028,49962.5252657386,3
33534.7325447966,42619.8592501136,3
34381.7052010466,32163.2503633948,3
34628.6485604216,35518.0867891761,3
35787.5133065153,26586.8294649573,3
36526.6026619841,43529.2440157386,3
36701.3536385466,29240.4378633948,3
37189.9278572966,38264.3441133948,3
38284.9522713591,29290.0643282386,3
38641.2950447966,40009.0194063636,3
38683.3336190153,33895.1888399573,3
38880.0841072966,51631.2703829261,3
39007.4351815153,46206.2313204261,3
39235.7725838591,43477.3494844886,3
39437.6817635466,30329.0731173011,3
39747.2227791716,41916.6610079261,3
39863.9903572966,49068.2235079261,3
40099.2784432341,36492.1712618323,3
41160.6798104216,50058.3406954261,3
41305.2061776091,42353.6531954261,3
42567.8135994841,42231.9735079261,3
42725.2501229216,33707.6937227698,3
43214.7276619841,41255.7772188636,3
43604.3175057341,47465.2498751136,3
44393.9415291716,29760.2645235511,3
45093.2677010466,40454.5955782386,3
45192.4815682341,51142.9354219886,3
46449.5421151091,36236.7220430823,3
46349.2930916716,50483.5164766761,3
48039.7471932341,42407.2078829261,3
48107.1251229216,25933.6214571448,3
48554.9278572966,32382.7816133948,3
49021.4464119841,47190.0350313636,3
49261.8760994841,35234.0389376136,3
49873.8048104216,39759.0023165198,3
51071.1485604216,39256.4193087073,3
51039.1710213591,42643.9022188636,3
51376.4610604216,34541.2947969886,3
51330.0499276091,35780.8992891761,3
51506.8468026091,49178.7166719886,3
51662.0323494841,44669.9715548011,3
52346.8809822966,41388.7313204261,3
53526.9737557341,51582.0906954261,3
24495.6412586655,63743.1627076642,4
26611.769188353,35184.771594383,4
27955.821922728,16870.9288209455,4
28173.9298328842,37621.5709107892,4
28207.4454578842,40497.3863404767,4
29780.0455555405,47453.4605592267,4
30546.8424305405,48070.9068482892,4
31103.966453978,50213.9634889142,4
32181.7081531967,46580.2379029767,4
33078.0143055405,44817.1421998517,4
33357.0108875717,49973.6900514142,4
33524.0494617905,50801.6832154767,4
33670.9562000717,43580.7457154767,4
33704.220360228,20171.5855592267,4
34403.4024891342,48124.4810670392,4
34532.5870594467,35514.2271607892,4
35792.443016478,26291.3951295392,4
35808.3365711655,33414.2271607892,4
36160.4581531967,36785.1085084455,4
36642.2818836655,29383.394641258,4
36726.222313353,41462.7623170392,4
37050.2335438217,46702.4986451642,4
37149.5084461655,38300.3746217267,4
37134.1349110092,45122.5425904767,4
37200.4288563217,48379.5005982892,4
37181.7765125717,49721.7906373517,4
38133.7784656967,29257.9527467267,4
38647.960594603,50432.1519654767,4
38968.1241688217,46251.0875123517,4
39051.466453978,43158.9634889142,4
39436.6568836655,30123.1260865705,4
40127.5626453842,36572.3155396955,4
40464.6451649155,22614.127063133,4
41181.1978992905,50047.1373170392,4
41309.0396961655,42314.3150514142,4
42595.841453978,33716.099719383,4
42564.0787586655,42215.8921998517,4
43132.794578978,41269.8033326642,4
43544.7232899155,37128.8682740705,4
44380.968407103,29786.080188133,4
44752.267235228,31864.9302857892,4
44773.888328978,48372.5523561017,4
45120.265282103,40459.429797508,4
45136.2467274155,44951.8736451642,4
46436.339500853,34404.8570436017,4
46406.290672728,50574.9791139142,4
46911.5494617905,51418.9244264142,4
47643.058250853,30734.039172508,4
48063.751610228,25994.2759889142,4
49067.706688353,40252.4888795392,4
49428.331688353,43019.9351686017,4
50170.607078978,47917.4595826642,4
51322.228172728,35790.1304811017,4
51717.2330555405,44689.7545045392,4
52349.0689930405,41356.5367311017,4
53445.929344603,51597.4498170392,4
24546.6637874461,63790.3147590012,5
26656.3097835398,35149.1892707199,5
27962.1862483836,16878.8181769699,5
28209.4396663523,37586.5452277512,5
28198.6071468211,40590.8982550949,5
29794.9352718211,31325.3757941574,5
29734.9596858836,43256.6282355637,5
29862.7575374461,47402.7366340012,5
29904.5959163523,45600.4417121262,5
30454.2248226023,48032.5803840012,5
30610.4235530711,34751.8552863449,5
31115.8288265086,50205.9788215012,5
31816.0778499461,44065.8030402512,5
32103.6608577586,48240.0999152512,5
32830.0109554148,34158.2102668137,5
32936.9103694773,44711.6721808762,5
33164.7448421336,37624.9363410324,5
33350.5993343211,49981.0081183762,5
33947.1325374461,31163.1858527512,5
34348.9489436961,54710.0510871262,5
34553.2458186961,35538.5471808762,5
36259.2297054148,36864.6995246262,5
36232.2887874461,45343.6399543137,5
36474.9523616648,43529.4260871262,5
36922.8283382273,41375.0169074387,5
37195.6725765086,38220.1365363449,5
37072.8283382273,46703.6546027512,5
38343.6413265086,37817.7781379074,5
38782.5256038523,34171.6770636887,5
39418.7316585398,29803.1956183762,5
40469.4738460398,22674.6702277512,5
40826.7052913523,34536.3255011887,5
41131.1169124461,45487.6243293137,5
41314.4372249461,42339.5774543137,5
41340.8239436961,53891.5940558762,5
41493.6364436961,36274.0183722824,5
42452.2448421336,33768.5178840012,5
42539.7546077586,42181.2913215012,5
43170.7897640086,41274.2600715012,5
43400.4723811961,38950.5320441574,5
44365.2575374461,29744.1721808762,5
45160.7409358836,40484.4846808762,5
45798.1530452586,43595.5686652512,5
46390.5065608836,34278.2713019699,5
46408.0651546336,37341.7356574387,5
46612.6403499461,28136.8162238449,5
46498.7048030711,48595.7786261887,5
46735.8141780711,51466.4622199387,5
47619.2077327586,30631.9578254074,5
48086.2487483836,25974.6189582199,5
48643.5436702586,29224.2600715012,5
48665.6676936961,38095.0877082199,5
50300.5895686961,47978.0344855637,5
50772.8893733836,42486.4475715012,5
51285.6823421336,35848.1077277512,5
51161.1608577586,39350.6248175949,5
51691.3171077586,44657.3411261887,5
54686.2585140086,41717.7854621262,5
24546.288465992,63747.9249467973,6
27946.2664933357,39671.1060991411,6
27974.1839738045,16859.1041460161,6
28157.8363175545,41886.6847124223,6
29593.6786027107,43534.7169389848,6
29936.386122242,45635.1563921098,6
30028.9984269295,48842.0118608598,6
30641.962294117,34751.6700639848,6
30532.9998917732,47941.5333452348,6
31756.2152238045,44039.5558061723,6
31731.8719620857,49928.2081499223,6
31654.0008683357,52160.5177202348,6
32069.6991105232,48242.1339311723,6
32365.936903492,46631.7384233598,6
32963.954481617,44824.0724077348,6
33361.7523331795,50026.0792436723,6
33389.7015519295,36280.6300249223,6
34605.4559464607,35477.9566850786,6
35734.3402238045,34367.5685014848,6
35797.362684742,26232.5880327348,6
36317.7996964607,29509.1480913286,6
36275.5682511482,45310.2979936723,6
37057.6507706795,34821.4112749223,6
37200.2655167732,38221.6041460161,6
37773.8910050545,45378.6720171098,6
38357.4456925545,37842.1070757036,6
38411.5448136482,43911.7237749223,6
38814.2230363045,48231.6358842973,6
38916.1590714607,52020.0343217973,6
39071.923231617,43136.0352983598,6
40099.3695206795,36533.7989702348,6
40785.8856339607,34655.4933061723,6
40928.974012867,45478.1886186723,6
41310.1800675545,42331.4893999223,6
41482.5238175545,53912.5880327348,6
42063.905653492,33779.5973100786,6
43200.4828019295,41236.4845171098,6
43322.8656144295,38901.2135210161,6
43465.321669117,37308.1690874223,6
43933.075575367,31720.7227983598,6
44397.4456925545,29688.1861772661,6
44692.7874894295,32215.9620561723,6
44723.475965992,52787.5636186723,6
45139.745497242,40504.1285600786,6
45672.2210831795,33268.9649858598,6
46593.016981617,34134.0724077348,6
46543.9007706795,48616.9386186723,6
47478.456434742,30698.9527788286,6
47876.161512867,32065.9278764848,6
48563.856825367,29154.3995561723,6
49003.954481617,39920.0172319536,6
49670.5316300545,34517.0484819536,6
49658.856825367,51509.5851030473,6
49750.5316300545,33130.9742632036,6
49977.899794117,39713.2838335161,6
50530.7269425545,42270.0099077348,6
50627.4554581795,48339.0382280473,6
50736.063856617,34216.5138139848,6
51201.278700367,39260.3785600786,6
51387.411512867,35850.2564897661,6
51600.497450367,44590.5226030473,6
52178.5589738045,43724.3263139848,6
27963.2542318292,16836.711755023,7
28190.556477923,37607.8665401792,7
28197.3655599542,40551.7874386167,7
28121.4524740167,41831.018395648,7
28504.755696673,32646.3431026792,7
28998.681477923,45649.241051898,7
29175.8225912042,33694.973473773,7
30033.3079427667,44532.287926898,7
31473.4593099542,35562.0486690855,7
32078.8230794855,48285.0174190855,7
32223.837727923,53431.780114398,7
33398.115071673,20419.8941280698,7
35718.4348958917,56263.528161273,7
35812.343587298,34298.2718136167,7
36407.988118548,29539.0335323667,7
36327.8489583917,31226.838708148,7
36919.1868490167,52867.385583148,7
37223.3958333917,38222.3318722105,7
37146.923665423,54753.5721065855,7
37819.804524798,45356.0330440855,7
38364.677571673,37803.7991573667,7
38763.2664388605,40131.3162472105,7
38750.6028646417,52134.172692523,7
39474.3992513605,29534.1775753355,7
40096.4964193292,36499.3802120542,7
40469.5677083917,34158.2376339292,7
40942.4558919855,45461.9607784605,7
41288.632649798,42318.6795284605,7
41498.1883138605,53930.4568722105,7
41919.3406576105,33798.0472042417,7
42867.734212298,47718.7674190855,7
43161.4207357355,41333.459801898,7
43422.2996419855,37530.3470089292,7
43439.1941732355,39082.297692523,7
43846.4500326105,31734.4485714292,7
43933.4812826105,47754.1580440855,7
44379.062337298,29721.770348773,7
44789.824056048,32440.2835323667,7
45089.8777669855,40445.4471065855,7
45378.378743548,28390.774255023,7
46358.1883138605,50655.813317523,7
46503.202962298,41616.2381222105,7
46590.1805013605,43131.018395648,7
46573.3933919855,48623.1912472105,7
47761.7332357355,32075.1126339292,7
48485.732259173,29404.8196651792,7
48654.443196673,38098.0862667417,7
48699.0965169855,51046.6580440855,7
48942.2703451105,39971.9143917417,7
48990.126790423,47222.180505023,7
51334.7898763605,35784.3924190855,7
51674.814290423,41832.375817523,7
51674.0476888605,44578.8357784605,7
52182.148274798,43686.5506222105,7
27992.4894256947,16816.9312932994,8
28205.2823944447,37666.4051702525,8
28144.6012421009,41821.5882757212,8
29277.6505585072,33787.57216244,8
30019.7135467884,44558.7611272837,8
29953.5319061634,45546.5687444712,8
31059.7379608509,37455.921771815,8
31945.2067108509,52153.2142522837,8
32048.6320038197,48258.9515569712,8
32188.7223358509,53329.9281194712,8
32401.1490936634,46619.2884710337,8
32525.3922577259,45011.5785100962,8
32903.6173553822,37220.550678065,8
33426.7887421009,20368.6244085337,8
35746.8229217884,26248.578021815,8
35751.9864960072,34393.6195257212,8
35748.9664764759,56327.0374944712,8
35806.7106171009,55360.6361272837,8
36251.4664764759,31379.58388119,8
36425.1481171009,29632.5062444712,8
37172.1622772572,54713.9808538462,8
38468.5270233509,29591.4832952525,8
38723.3536835072,39967.1497991587,8
39775.1261444447,35786.1292913462,8
40131.3981171009,36512.1351507212,8
40453.2145233509,34144.7230413462,8
40442.8141327259,53167.0326116587,8
40773.6832733509,45510.9779241587,8
41281.1490936634,42334.8255804087,8
41333.9860077259,58724.5472600962,8
41420.3580780384,47080.9681585337,8
41697.5406952259,40416.8470647837,8
41968.7125702259,33762.0033147837,8
42432.0084686634,28272.035053065,8
42529.7574921009,46745.8802679087,8
42896.2711639759,47727.8382757212,8
43241.6422577259,41386.2708929087,8
43430.1627655384,37547.8895452525,8
43866.0856171009,31619.3519475962,8
43789.7867889759,47934.9964788462,8
44395.7731171009,29747.386615565,8
45050.2897186634,40460.5457952525,8
45684.1178436634,33259.70106869,8
45946.7936249134,52008.7953069712,8
46460.4801483509,27934.9085882212,8
46390.7047577259,34186.4076116587,8
46521.0123749134,41612.0326116587,8
47653.8346405384,30457.9603460337,8
48545.7096405384,29471.7542913462,8
48658.0240936634,38127.2450140025,8
48805.8903046009,40093.402240565,8
49304.3033905384,38738.5951116587,8
50587.4039764759,42437.9164007212,8
51028.2828827259,39133.88075619,8
51410.2653046009,35807.7796819712,8
51691.5787811634,41888.2581975962,8
52281.2467499134,43721.9007757212,8
27968.461896003,16858.9898074081,9
28169.5385561592,37628.0681765487,9
29816.1694155342,31571.2005007675,9
30008.9257631905,44532.0305788925,9
29899.8852358467,45563.5149538925,9
30101.0546694405,48804.2962038925,9
31048.9770327217,37395.03350858,9
31918.872052253,29487.4138796737,9
32134.3774233467,48307.5774538925,9
32407.8686342842,46624.457336705,9
33006.9921694405,37414.730774205,9
33352.1069155342,42848.9446413925,9
34369.9438295967,32162.5481570175,9
35761.3793764717,55383.4368288925,9
35795.2538881905,26211.644836705,9
35802.6659975655,56326.4837038925,9
36401.5991030342,29692.6458132675,9
36406.3476381905,45262.172180455,9
37139.780255378,38225.5950320175,9
37306.3989077217,53687.836242955,9
37779.116192878,45359.203430455,9
38320.2514467842,29534.7258913925,9
38381.9140444405,43955.7317507675,9
39214.7656069405,44604.2571413925,9
40071.1938295967,36463.109680455,9
40644.2992983467,28871.8035281112,9
40689.4360170967,45448.5442507675,9
41158.7817202217,46661.7571413925,9
41237.8002749092,42431.04913358,9
41478.0444155342,36186.4763796737,9
