driftx,drifty
3.47207089965338,1.18432663155258
3.3311379407572,1.13625426744823
3.18995604593391,1.08809699106629
3.0481426223828,1.03972429964459
2.90641635425136,0.99138133701805
2.76462214387583,0.943015199228505
2.62378706079439,0.894976220656113
2.48188021665766,0.846571663385267
2.34117391754298,0.798576613144399
2.19926178282167,0.750170251250205
1.91552425112099,0.653387113786723
1.91131043972852,0.651949778779267
1.77447712697859,0.605275807810103
1.63302179246804,0.557025260895075
1.49129037297793,0.508680541135278
1.34909449585201,0.460177394441467
1.20802426020855,0.412058205110217
1.06485825694166,0.36322414748229
0.919135369837375,0.313517934385787
0.781684033272899,0.266633154915398
0.640375025193769,0.218432520082999
0.498559791705829,0.170059211290145
0.355917834764229,0.121403906353953
0.214865280811343,0.0732907482638964
0.0726703782667969,0.0247879340007023
-0.0673784961008012,-0.0229828680439984
-0.208821161053545,-0.0712290933610061
-0.350412936955913,-0.119526180562405
-0.492073768909648,-0.167846822847518
-0.633205960083061,-0.215987145267987
-0.775576844177865,-0.264549987002583
-0.91724380207164,-0.312872718851574
-1.05898482814954,-0.361220715427452
-1.20172048412858,-0.409907981192958
-1.34248651115866,-0.457923404681635
-1.48440491104592,-0.506331903629796
-1.6253197705738,-0.554398094022688
-1.76795922144902,-0.603052544137294
-1.91055648687351,-0.651692604755194
-2.05102136826022,-0.699605307183239
-2.19166654720041,-0.747579509275416
-2.33358606089495,-0.795988388144282
-2.47661450896275,-0.844775525565133
-2.61802598731165,-0.893011113102398
-2.75931703524839,-0.941205621713429
-2.90193713372212,-0.989853470705783
-3.04263104173081,-1.03784429432881
-3.18483569008905,-1.08635043289817
-3.32577296498845,-1.13442426919525
-3.46770417365943,-1.18283713723152
-3.60936096806177,-1.23115640230408
-3.75141915076269,-1.27961258130073
-3.89254758283653,-1.32775162148882
-4.03358440426158,-1.37585941319891
-4.17503472663938,-1.42410825047077
-4.31802112848235,-1.472881045885
-4.45851803182837,-1.52080467103332
-4.60147658848934,-1.56956796842993
-4.74295823669689,-1.61782749097161
-4.88476261056385,-1.66619709553759
-5.02479728388863,-1.7139630535933
-5.16851169801506,-1.76298417467839
-5.30870898720273,-1.81080560115704
-5.45005419401847,-1.85901858341235
-5.59181401559422,-1.90737299115013
-5.73383098742577,-1.95581511308069
-5.87579199044149,-2.00423814399582
-6.01777735799147,-2.05266948567637
-6.15880847115421,-2.10077533029285
-6.29943012091561,-2.14874150656014
-6.44258275849514,-2.1975710051396
